Date,Time,Open,High,Low,Close,Volume
2015.05.14,0:00,1215.42,1227.33,1212.42,1221.02,82102
2015.05.15,0:00,1221.39,1226.23,1211.07,1225.08,70583
2015.05.18,0:00,1223.87,1232.43,1221.66,1225.43,60497
2015.05.19,0:00,1225.77,1225.81,1205.79,1207.8,70044
2015.05.20,0:00,1207.95,1213.59,1203.34,1209.7,65818
2015.05.21,0:00,1209.88,1212.84,1201.6,1206.23,54153
2015.05.22,0:00,1206.35,1214.92,1201.59,1205.36,55652
2015.05.25,0:00,1205.46,1208.72,1202.93,1207.16,25301
2015.05.26,0:00,1206.8,1207.61,1185.63,1187.17,69319
2015.05.27,0:00,1187.41,1190.97,1183.74,1187.85,59325
2015.05.28,0:00,1187.85,1192.22,1180.44,1187.59,64721
2015.05.29,0:00,1188.08,1193.99,1185.77,1189.87,58330
2015.06.01,0:00,1189.83,1204.34,1184.61,1189.18,67552
2015.06.02,0:00,1189.39,1196.37,1186.02,1192.9,62983
2015.06.03,0:00,1193.49,1195.62,1179.48,1184.51,63625
2015.06.04,0:00,1185.67,1186.56,1172.96,1176.8,74409
2015.06.05,0:00,1176.96,1178.62,1162.79,1170.9,58974
2015.06.08,0:00,1171.05,1177.7,1169.26,1173.95,67466
2015.06.09,0:00,1174.04,1183.02,1172.6,1176.61,54788
2015.06.10,0:00,1176.48,1192.36,1175.32,1186.03,65006
2015.06.11,0:00,1186.22,1188.02,1175.74,1181.92,52467
2015.06.12,0:00,1181.57,1184.4,1176.82,1181.12,49275
2015.06.15,0:00,1181.03,1190.51,1172.88,1186.39,55914
2015.06.16,0:00,1185.93,1187.94,1176.17,1182.01,44067
2015.06.17,0:00,1181.71,1189.26,1174.69,1185.56,53497
2015.06.18,0:00,1185.06,1205.79,1183.71,1201.86,68839
2015.06.19,0:00,1201.98,1204.22,1198.44,1200.78,47978
2015.06.22,0:00,1200.31,1201.14,1182.2,1185.91,48320
2015.06.23,0:00,1185.8,1188.18,1176.28,1178.62,49853
2015.06.24,0:00,1178.11,1180.33,1170.66,1175.33,45992
2015.06.25,0:00,1174.95,1178.15,1171.64,1173.27,40633
2015.06.26,0:00,1173.31,1178.72,1168.67,1174.34,50495
2015.06.29,0:00,1184.7,1188.21,1173.91,1179.76,88133
2015.06.30,0:00,1180.12,1180.57,1166.8,1172.19,83312
2015.07.01,0:00,1173.07,1175.1,1167.59,1168.64,52285
2015.07.02,0:00,1168.56,1169.89,1157.13,1166.09,58395
2015.07.03,0:00,1166.02,1170.3,1164.8,1168.62,28970
2015.07.06,0:00,1175.05,1176.08,1162.95,1170.19,68251
2015.07.07,0:00,1170.19,1170.61,1148.02,1155.24,79822
2015.07.08,0:00,1155.29,1164.72,1147.27,1157.94,88583
2015.07.09,0:00,1158.59,1167.78,1156.09,1159.09,69123
2015.07.10,0:00,1159.74,1165.47,1157.52,1162.97,59902
2015.07.13,0:00,1163.39,1164.98,1151.19,1157.89,61053
2015.07.14,0:00,1157.86,1159.84,1152.97,1155.93,48864
2015.07.15,0:00,1155.31,1156.85,1143.28,1149.34,56954
2015.07.16,0:00,1147.54,1149.48,1142.34,1145.36,60384
2015.07.17,0:00,1145.54,1145.82,1131.15,1133.9,59341
2015.07.20,0:00,1133.73,1133.73,1084.61,1096.67,104944
2015.07.21,0:00,1098.98,1109.98,1097.07,1101.04,68764
2015.07.22,0:00,1101.22,1103.49,1087.11,1094.14,78323
2015.07.23,0:00,1094.64,1105.83,1087.31,1090.44,75808
2015.07.24,0:00,1090.66,1101.64,1077.36,1098.91,102722
2015.07.27,0:00,1099.4,1105.1,1088.61,1093.85,84905
2015.07.28,0:00,1094.93,1099.04,1091.65,1095.14,61735
2015.07.29,0:00,1095.16,1102.01,1090.5,1096.82,77848
2015.07.30,0:00,1097.07,1098.73,1082.61,1088.71,73931
2015.07.31,0:00,1088.53,1103.48,1080.1,1095.01,84744
2015.08.03,0:00,1095.94,1097.81,1085.86,1086.74,74168
2015.08.04,0:00,1084.06,1094.94,1081.07,1087.34,85766
2015.08.05,0:00,1087.96,1092.61,1083.08,1085.01,77298
2015.08.06,0:00,1085.09,1094.07,1083.59,1089.59,57989
2015.08.07,0:00,1089.65,1099.56,1082.86,1092.17,68485
2015.08.10,0:00,1094.6,1108.99,1089.74,1104.48,65449
2015.08.11,0:00,1104.4,1119.44,1093.88,1108.96,84646
2015.08.12,0:00,1108.82,1125.83,1101.85,1124.39,85553
2015.08.13,0:00,1125.69,1126.81,1113.68,1114.94,68417
2015.08.14,0:00,1115.27,1121.13,1111.87,1115.14,59093
2015.08.17,0:00,1114.41,1122.84,1113.79,1117.47,62530
2015.08.18,0:00,1117.69,1121.2,1109.72,1116.91,69297
2015.08.19,0:00,1117.63,1134.65,1116.33,1133.86,81032
2015.08.20,0:00,1133.57,1154.07,1132.66,1151.61,84821
2015.08.21,0:00,1153.41,1168.31,1149.02,1159.75,104812
2015.08.24,0:00,1160.52,1170.09,1145.73,1155.06,142678
2015.08.25,0:00,1155.47,1156.69,1134.73,1140.54,110720
2015.08.26,0:00,1140.06,1146.53,1117.77,1125.15,106215
2015.08.27,0:00,1125.31,1129.34,1118.33,1124.76,106725
2015.08.28,0:00,1125.12,1140.88,1123.83,1134.47,95138
2015.08.31,0:00,1133.07,1136.68,1125.74,1134.85,81188
2015.09.01,0:00,1134.36,1147.94,1134.36,1140.13,104170
2015.09.02,0:00,1139.44,1142.5,1132.14,1133.87,92555
2015.09.03,0:00,1133.58,1134.38,1121.89,1125.19,73776
2015.09.04,0:00,1124.95,1132.15,1116.72,1121.97,68191
2015.09.07,0:00,1123.39,1124.84,1116.06,1119.12,44931
2015.09.08,0:00,1118.67,1126.77,1118.67,1121.43,73498
2015.09.09,0:00,1121.67,1125.45,1101.34,1107.74,80654
2015.09.10,0:00,1106.5,1115.05,1103.94,1110.53,79756
2015.09.11,0:00,1110.89,1112.88,1098.82,1108.08,66129
2015.09.14,0:00,1107.72,1110.51,1103.57,1109.01,54574
2015.09.15,0:00,1107.98,1109.42,1102.63,1105.08,45080
2015.09.16,0:00,1105.13,1124.22,1104,1119.48,72821
2015.09.17,0:00,1119.13,1135.31,1115.39,1131.36,79336
2015.09.18,0:00,1130.46,1141.73,1127.6,1139.81,91437
2015.09.21,0:00,1138.96,1139.99,1129.65,1133.35,53034
2015.09.22,0:00,1133.05,1136.68,1121.39,1124.7,65828
2015.09.23,0:00,1124.35,1134.38,1121.9,1130.12,53042
2015.09.24,0:00,1130.21,1156.76,1130.11,1153.88,86359
2015.09.25,0:00,1151.2,1151.31,1140.84,1146.58,78106
2015.09.28,0:00,1144.66,1148.24,1128.04,1131.83,77613
2015.09.29,0:00,1132,1134.73,1124.28,1127.37,71796
2015.09.30,0:00,1127.36,1128.18,1111.74,1114.91,76954
2015.10.01,0:00,1115.2,1119.23,1111.09,1113.47,55805
2015.10.02,0:00,1113.12,1141.32,1104.71,1137.63,78620
2015.10.05,0:00,1137.68,1142.01,1130.17,1135.63,70613
2015.10.06,0:00,1135.28,1151.33,1135.04,1147.1,61803
2015.10.07,0:00,1146.68,1153.64,1141.88,1145.46,66551
2015.10.08,0:00,1145.43,1151.33,1136.68,1138.95,71995
2015.10.09,0:00,1138.71,1159.71,1138.66,1157.75,78948
2015.10.12,0:00,1156.39,1169.04,1154.8,1163.65,38064
