Date,Time,Open,High,Low,Close,Volume,
2014.10.28,0:00,1.26969,1.27638,1.26835,1.27322,129529,
2014.10.29,0:00,1.27322,1.27696,1.26254,1.26354,136410,
2014.10.30,0:00,1.26353,1.26383,1.25459,1.2612,176866,
2014.10.31,0:00,1.26119,1.26149,1.24845,1.25328,230648,
2014.11.03,0:00,1.25035,1.2513,1.24381,1.24807,184847,
2014.11.04,0:00,1.24807,1.25763,1.248,1.25452,168811,
2014.11.05,0:00,1.25453,1.25661,1.2456,1.24839,203873,
2014.11.06,0:00,1.24839,1.25323,1.23636,1.23724,265488,
2014.11.07,0:00,1.23725,1.24687,1.23568,1.246,233452,
2014.11.10,0:00,1.24685,1.25081,1.24175,1.24191,145704,
2014.11.11,0:00,1.24193,1.24985,1.23931,1.24733,151902,
2014.11.12,0:00,1.2474,1.24967,1.24179,1.2437,200481,
2014.11.13,0:00,1.2437,1.24907,1.24252,1.24751,146723,
2014.11.14,0:00,1.24751,1.25453,1.23973,1.25238,194903,
2014.11.17,0:00,1.253,1.25765,1.24439,1.24483,154136,
2014.11.18,0:00,1.24485,1.25441,1.24422,1.25318,158213,
2014.11.19,0:00,1.25315,1.25993,1.2511,1.25526,189614,
2014.11.20,0:00,1.25525,1.25742,1.25031,1.25375,214449,
2014.11.21,0:00,1.25376,1.25671,1.23737,1.23884,219761,
2014.11.24,0:00,1.23608,1.24436,1.23595,1.24397,149088,
2014.11.25,0:00,1.24397,1.24861,1.24009,1.24733,163985,
2014.11.26,0:00,1.24733,1.25307,1.24425,1.25042,168939,
2014.11.27,0:00,1.25042,1.25224,1.24635,1.24658,98966,
2014.11.28,0:00,1.24657,1.24891,1.24252,1.24449,148274,
2014.12.01,0:00,1.24622,1.25056,1.2418,1.24676,184230,
2014.12.02,0:00,1.24675,1.2475,1.23756,1.23809,144259,
2014.12.03,0:00,1.23811,1.23895,1.23,1.23089,172154,
2014.12.04,0:00,1.23089,1.24552,1.22768,1.23763,228123,
2014.12.05,0:00,1.23763,1.23918,1.22697,1.22856,173050,
2014.12.08,0:00,1.22868,1.23428,1.2246,1.23121,157313,
2014.12.09,0:00,1.23121,1.24469,1.22909,1.23723,212538,
2014.12.10,0:00,1.23723,1.24467,1.2361,1.24458,194805,
2014.12.11,0:00,1.24461,1.2494,1.2369,1.24085,216723,
2014.12.12,0:00,1.24086,1.24842,1.23832,1.24555,197235,
2014.12.15,0:00,1.24743,1.2478,1.24134,1.24345,200998,
2014.12.16,0:00,1.24344,1.25686,1.24327,1.25083,276714,
2014.12.17,0:00,1.25082,1.25148,1.23191,1.23396,281985,
2014.12.18,0:00,1.23397,1.23519,1.22646,1.22846,225871,
2014.12.19,0:00,1.22847,1.23012,1.22188,1.22324,172104,
2014.12.22,0:00,1.22216,1.22714,1.22155,1.22276,113244,
2014.12.23,0:00,1.22283,1.22445,1.21635,1.2171,121500,
2014.12.24,0:00,1.21709,1.2219,1.21683,1.21987,82316,
2014.12.26,0:00,1.22125,1.22155,1.21671,1.21759,49521,
2014.12.29,0:00,1.21765,1.22199,1.21416,1.21501,113612,
2014.12.30,0:00,1.215,1.21863,1.21225,1.21574,127814,
2014.12.31,0:00,1.21574,1.21686,1.20962,1.20998,90887,
2015.01.02,0:00,1.2051,1.20687,1.20004,1.20014,117312,
2015.01.05,0:00,1.1953,1.19751,1.18616,1.19314,206851,
2015.01.06,0:00,1.19318,1.19676,1.1883,1.18882,201546,
2015.01.07,0:00,1.18878,1.18954,1.18009,1.18383,234914,
2015.01.08,0:00,1.18381,1.18463,1.1753,1.1791,179867,
2015.01.09,0:00,1.1789,1.1845,1.17613,1.18397,214336,
2015.01.12,0:00,1.18488,1.18698,1.17849,1.18326,170025,
2015.01.13,0:00,1.18322,1.18584,1.17518,1.17712,191742,
2015.01.14,0:00,1.17712,1.18453,1.17262,1.17865,220375,
2015.01.15,0:00,1.17865,1.17918,1.15656,1.1629,378216,
2015.01.16,0:00,1.16289,1.16476,1.14583,1.15549,303043,
2015.01.19,0:00,1.15507,1.16378,1.15494,1.16,179672,
2015.01.20,0:00,1.16,1.16138,1.15392,1.15462,168930,
2015.01.21,0:00,1.15467,1.16785,1.15402,1.16066,200637,
2015.01.22,0:00,1.16077,1.16499,1.13148,1.13636,260958,
2015.01.23,0:00,1.13639,1.13728,1.11131,1.12086,287920,
2015.01.26,0:00,1.11509,1.12942,1.1096,1.12358,214396,
2015.01.27,0:00,1.12362,1.14215,1.12225,1.13792,241029,
2015.01.28,0:00,1.13753,1.13822,1.1275,1.12859,246983,
2015.01.29,0:00,1.12868,1.13669,1.12607,1.13178,234691,
2015.01.30,0:00,1.13155,1.13628,1.1278,1.12893,198835,
2015.02.02,0:00,1.13096,1.1361,1.12912,1.13367,173629,
2015.02.03,0:00,1.13368,1.15327,1.13112,1.14751,236282,
2015.02.04,0:00,1.14776,1.14837,1.13142,1.13421,237853,
2015.02.05,0:00,1.13422,1.14977,1.13028,1.1474,244669,
2015.02.06,0:00,1.14741,1.14845,1.13108,1.13202,201974,
2015.02.09,0:00,1.12956,1.13583,1.12691,1.1322,189937,
2015.02.10,0:00,1.13221,1.13442,1.12718,1.13196,180199,
2015.02.11,0:00,1.13196,1.13458,1.12786,1.13342,141829,
2015.02.12,0:00,1.13343,1.1422,1.13009,1.13993,209253,
2015.02.13,0:00,1.13994,1.1442,1.13789,1.13872,158110,
2015.02.16,0:00,1.13966,1.14278,1.13182,1.13527,106169,
2015.02.17,0:00,1.13505,1.14479,1.13209,1.14094,163446,
2015.02.18,0:00,1.14102,1.14151,1.13327,1.13959,175234,
2015.02.19,0:00,1.13963,1.14492,1.13541,1.13669,168020,
2015.02.20,0:00,1.13673,1.14288,1.12779,1.13775,248151,
2015.02.23,0:00,1.13907,1.13951,1.12939,1.13336,142957,
2015.02.24,0:00,1.13338,1.13573,1.12873,1.13397,144898,
2015.02.25,0:00,1.13395,1.1388,1.1335,1.136,119435,
2015.02.26,0:00,1.13599,1.13788,1.11824,1.11965,145533,
2015.02.27,0:00,1.11963,1.12443,1.1175,1.11915,145365,
2015.03.02,0:00,1.1181,1.12396,1.11589,1.1183,121081,
2015.03.03,0:00,1.11831,1.12166,1.11535,1.11747,128459,
2015.03.04,0:00,1.1175,1.11844,1.10604,1.10768,149691,
2015.03.05,0:00,1.10769,1.11133,1.09864,1.10282,181025,
2015.03.06,0:00,1.10279,1.10317,1.08408,1.08445,184532,
2015.03.09,0:00,1.08298,1.09055,1.08216,1.08516,128743,
